thread_id,customer_tweet_id,customer_text,uber_tweet_id,uber_reply,thread_length,tentative_intent,ground_truth_intent,ground_truth_escalate,escalation_reason,notes,gold_standard_reply
2482786,2482786,"@Uber_Support please help. I changed my number but I can't log back into my account since it's based on my old number, what to do?",2482784,@user Here to help! Send us a note via https://t.co/dwDjAokZht so our team can assist.,3,general_feedback_other,general_feedback_other,False,Can be auto-handled with standard protocol / DM guidance,,I'm sorry to hear you're having trouble accessing your account after changing your number. Please DM us your registered email and the new phone number so our tech team can help you get back in. We're here for you!
2493966,2493966,@user Got out of the hospital last Wednesday. Can't drive. Can you hook a girl up with some codes?,2493964,@user We're here to help! Please send us a DM with your email address so we can assist.,4,safety_critical,safety_critical,True,P0 physical safety risk requires immediate human safety team triage,,I'm really sorry to hear about your situation. Your safety is our top priority. Please DM us your phone number so our safety team can reach out and assist you. We're here for you!
349654,349654,"@Uber_Support just charged me for a ride that I never took. I waited for the driver, called the driver - he never showed up, but charged me.",349653,"@user That's not okay, Michelle. Please send us a note at https://t.co/593jusCquh so we can look into this for you.",2,fare_billing_dispute,fare_billing_dispute,False,Can be auto-handled with standard protocol / DM guidance,,"I'm really sorry to hear about the charge for a ride you didn't take. I understand how frustrating this must be. Please DM me your account email and the trip details, and I'll help you resolve this. Thank you for your patience!"
2968437,2968437,@Uber_Support one of your drivers just flipped me off after she canceled on me while I was looking at her car. I was on the phone with her trying to locate her because she wouldn't come to my pick up location,2968436,@user Sorry to hear this was your experience! Please send us a DM with your email address so we can connect.,2,lost_item,lost_item,False,Can be auto-handled with standard protocol / DM guidance,,I'm really sorry to hear about your experience. That’s not how we want our riders to feel. Please DM us your phone number so we can connect you with our safety team to address this. Your safety is our priority!
1573815,1573815,@user I will make sure everyone knows how Uber let their drivers treat their customer. Your driver Pablo is unprofessional &amp; need to fire,1573814,@user Here to help! It seems a member of our team has reached out to you. Please check your email and follow up with them there.,2,driver_service_conduct,driver_service_conduct,False,Can be auto-handled with standard protocol / DM guidance,,"I'm truly sorry to hear about your experience with Pablo. Your feedback is important, and we take these matters seriously. Please DM us with your account email and trip details so we can address this appropriately. Thank you for bringing this to our attention."
2625710,2625710,"@user Jesus!! 1st try, can't change payment method. 2nd attempt, can't change post code. 3rd attempt, non-delivery after hour! Wankers",2625709,"@user Sorry to hear about that! Send us a DM with your email address and more information, so our team can further assist.",2,app_account_access,app_account_access,False,Can be auto-handled with standard protocol / DM guidance,,I'm really sorry to hear you're having such a frustrating experience with the app. I understand how important it is to get these issues resolved. Please DM me your registered phone number and email so our tech team can assist you promptly. Thank you for your patience!
2269671,2269671,@Uber_Support cancel this trip. The extremely rude driver has begun he trip without picking us,2269670,@user Here to help. Send us a note at https://t.co/e8HVorX5rh so our team can connect .,4,driver_service_conduct,driver_service_conduct,False,Can be auto-handled with standard protocol / DM guidance,,I'm really sorry to hear about your experience with the driver. Your comfort and safety are our top priorities. Please send us a DM with your phone number so we can assist you further and address this issue promptly. Thank you for your understanding!
2631639,2631639,@Uber_Support i cant access phone support doesnt work!!!!! Please help!,2631637,@user Here to help! Send us a note here; https://t.co/z2GegSP1EC and our team will be able to help.,3,lost_item,lost_item,False,Can be auto-handled with standard protocol / DM guidance,,"I'm sorry to hear you're having trouble accessing phone support! For lost items, please go to the app and navigate to Activity > Find lost item > Contact driver. If you need further assistance, feel free to DM me your email, and I'll help you out!"
1484256,1484256,"Now @user customer support just wrote back saying: ""Nope, charge was appropriate."" 🙄 Even at 50% off, it's not worth it. #deleteuber 7/7",1484257,@user Happy to help! Send us a DM with your email address and our team will follow up.,5,general_feedback_other,general_feedback_other,False,Can be auto-handled with standard protocol / DM guidance,,I’m sorry to hear you feel that way about your recent charge. I understand how frustrating unexpected fees can be. Please DM me your account email and trip details so I can look into this for you. Your feedback is important to us!
1563299,1563299,"My @user driver just verbally judged me for a 3:30am order. Yeah, it’s late, but I just worked a late event I barely ate at. Rude.",1563298,@user Happy to take a closer look! Send us a DM with your email address so we can follow up.,2,driver_service_conduct,driver_service_conduct,False,Can be auto-handled with standard protocol / DM guidance,,"I'm really sorry to hear about your experience. You deserve to feel respected, especially after a long night. Thank you for sharing this with us. If you'd like to discuss it further, please DM us your account email and any details about the trip. We're here to help!"
2927378,2927378,. @user hey your delivery person totally screwed up my husband's order! Wtf?!,2927377,@user We're here to help! Send us a DM with your email address so we can follow up.,2,general_feedback_other,general_feedback_other,False,Can be auto-handled with standard protocol / DM guidance,,"I’m really sorry to hear about the mix-up with your husband’s order! That’s frustrating, and I completely understand. Please DM us your account email and any details about the order so we can help resolve this for you. Thank you for your patience!"
2930419,2930419,I think I’m done with @user They are really playing with peoples $. I just received an email saying i was charged $15 dollars because my driver brought me back a lost item. This never happened.,2930418,@user We can definitely take a look! Send us a DM with your email address so we can follow up.,2,lost_item,lost_item,False,Can be auto-handled with standard protocol / DM guidance,,I’m really sorry to hear about the unexpected charge for a lost item that didn’t happen. I understand how frustrating this can be. Please DM us your account email and trip details so we can look into this for you. We're here to help!
518859,518859,@user is trash. Someone hacked my account and y’all allowed them to change the phone number to theirs after I messaged you letting you know,518856,@user Sorry to hear about that! Send us a DM (direct message) with your email address so we can assist you.,5,lost_item,lost_item,False,Can be auto-handled with standard protocol / DM guidance,,I'm really sorry to hear about your account being hacked. Your security is our top priority. Please DM us your registered phone number and email so our tech team can assist you right away. Thank you for your patience as we work to resolve this.
2503964,2503964,"@Uber_Support please check my messages, I want to complain about rude behavior of your cab driver as well as wrong charges credit on my account",2503963,"@user Sorry for the trouble! Send us a note here, https://t.co/e8HVorX5rh, and our team will be in touch.",5,driver_service_conduct,driver_service_conduct,False,Can be auto-handled with standard protocol / DM guidance,,I'm really sorry to hear about your experience with the driver and the unexpected charges. Your feedback is important to us. Please DM me your account email and trip details so we can look into this right away. Thank you for your patience!
2627871,2627871,@Uber_Support is the app down? Trying to log in but it’s not texting me verification codes,2627870,@user We're here to help! Send us a DM with your email address so we can connect.,2,app_account_access,app_account_access,False,Can be auto-handled with standard protocol / DM guidance,,"I'm sorry to hear you're having trouble logging in and not receiving verification codes. Let's get this sorted out! Please DM us with your registered phone number and email, and we'll have our tech team assist you right away. Thank you for your patience!"
1233010,1233010,Saw an uber/meter taxi squabble brewing eMhlanga. They were causing major traffic. Hope the police intervened,1233009,@user We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,2,safety_critical,safety_critical,True,P0 physical safety risk requires immediate human safety team triage,,We’re sorry to hear about the situation in eMhlanga. Your safety is our top priority. Please DM us your phone number so our safety team can reach out and assist you. Thank you for bringing this to our attention!
305345,305345,"@user hello, Where do I address a complaint regarding the cost of a trip taken today due to the driver's error? Thanks :-)",305343,@user We're so sorry for the trouble. Send us a note via https://t.co/K05RdmK3t4 so we can assist.,5,fare_billing_dispute,fare_billing_dispute,False,Can be auto-handled with standard protocol / DM guidance,,Hi there! I completely understand how frustrating unexpected trip costs can be. Please DM us your account email and the trip details so we can look into this for you. We're here to help!
1927629,1927629,@Uber_Support I need some help.. I wanted to use the promo code for free delivery on orders over $30 but it placed my order before I could -,1927627,"@user Due to our privacy policy, we will have to speak directly to the account holder. Please have them contact us via https://t.co/balq3Eyso6",3,app_account_access,app_account_access,False,Can be auto-handled with standard protocol / DM guidance,,Hi there! I’m sorry to hear you missed the chance to use your promo code. Please DM me your registered phone number and email so I can assist you further and ensure you have a better experience next time. Thank you for your understanding!
531724,531724,@Uber_Support We left our babies things and shopping in carboot. Called driver immediately. His phone was off. Still off. Can you help. Seems wrong that we can't contact him.,531721,@user Here to help! Please send us a note via https://t.co/oY5vj3vPqt so we can connect.,5,lost_item,lost_item,False,Can be auto-handled with standard protocol / DM guidance,,"I'm so sorry to hear about your situation. I understand how stressful it can be to leave important items behind. Please check the app under Activity > Find lost item > Contact driver to reach out. If you need further assistance, feel free to DM us your email and trip details. We're here to help!"
936988,936988,Got into a car accident w/ a Uber trying to get to this free @user concert now I’m sitting on E. Houston/Bowery waiting for bum ass NYPD🤦🏽‍♀️,936987,@user We hope everyone's ok! Please DM us additional details and we'll be in touch momentarily.,2,safety_critical,safety_critical,True,P0 physical safety risk requires immediate human safety team triage,,"I'm really sorry to hear about your accident. Your safety is our top priority. Please DM us your phone number so our safety team can reach out and assist you right away. Hang in there, and we’re here to help!"
1231020,1231020,What’s the point of car seat options to schedule a ride if it’s never available @user? Time to check @user,1231019,"@user Car seats are currently only available in select locations. However, you're always welcome to bring your own car seat along for the ride.",4,general_feedback_other,general_feedback_other,False,Can be auto-handled with standard protocol / DM guidance,,"I completely understand your frustration with the car seat options not being available when you need them. Your feedback is important, and I’ll make sure it gets to the right team. If you have any specific details to share, please DM me!"
524304,524304,Very unprofessional @user drivers . My pick up shows 1 min &amp; the driver calls and says i on my way . 12 calls from me to him n he disconnects / switches off waiting for me to cancel the ride needless to say am late #uberdriver @Uber_Support @user https://t.co/E4xr0qDAqJ,524301,@user We're sorry to hear this was your experience. Contact us via https://t.co/e8HVoseGiP and we'll be in touch.,7,driver_service_conduct,driver_service_conduct,False,Can be auto-handled with standard protocol / DM guidance,,"I'm really sorry to hear about your experience. That sounds incredibly frustrating, and it's not what we want for our riders. Please DM us your phone number so we can look into this and ensure it doesn’t happen again. Your satisfaction is important to us!"
1692674,1692674,@Uber_Support Do you have a phone number I can call? I need some help with correcting an UberEATS billing issue.,1692673,@user Here to help! Send us a DM with your email address with more info so we can assist.,2,lost_item,lost_item,False,Can be auto-handled with standard protocol / DM guidance,,"Hi there! I understand how frustrating billing issues can be. Unfortunately, we don’t have a direct phone line, but I’m here to help! Please DM me your email associated with your account and details of the issue, and I’ll assist you further. Thank you!"
972874,972874,@user I left my phone in a car...How do i get it back? I already asked for it in the app but havent received a call back.,972872,@user We're here to help! Send us your email address so we can connect.,3,lost_item,lost_item,False,Can be auto-handled with standard protocol / DM guidance,,"I'm sorry to hear you left your phone in the car! Please try going to the app and navigating to Activity > Find lost item > Contact driver. If you still need help, feel free to DM us your email and trip details, and we’ll assist you further."
1567664,1567664,@Uber_Support the driver just cancelled the trip so why cancellation fee charged? He refused the long trip!,1567663,@user Here to help! Send us a note here; https://t.co/h840Iouehc and our team will be able to help.,2,fare_billing_dispute,fare_billing_dispute,False,Can be auto-handled with standard protocol / DM guidance,,I understand how frustrating it is to be charged a cancellation fee when the driver canceled the trip. Please DM us your account email and trip details so we can look into this for you. We're here to help!
2061444,2061444,@Uber_Support app asks me to verify payment method but doesn’t scan Chase Sapphire card number w/ camera,2061443,@user Oh no! Thanks for bringing this to our attention. DM us your account email along with details for assistance.,2,app_account_access,app_account_access,False,Can be auto-handled with standard protocol / DM guidance,,"I’m sorry to hear you’re having trouble with your Chase Sapphire card! Please try entering the card details manually if the camera isn’t scanning. If you continue to experience issues, send me a DM with your registered phone number and email, and I’ll help you get this sorted out!"
1896205,1896205,"@user due to this idiot i missed my train,it hurts in festival,he has not picked 10 calls. https://t.co/KudKbmhBAy",1896204,"@user Hey Akshay, please reach out with the details at https://t.co/593jusCquh so we can connect.",5,general_feedback_other,general_feedback_other,False,Can be auto-handled with standard protocol / DM guidance,,"I'm really sorry to hear about your experience and the missed train, especially during the festival. That must be incredibly frustrating. Please DM us your phone number so we can help you address this issue. Your satisfaction is important to us!"
2825115,2825115,@user why I’m getting charged for rides I didn’t take? Is this related to the data breach? The mystery charges are pending.,2825112,@user Sorry to hear about that! Can you please contact us via https://t.co/1xM0TILvAI so our team can connect.,5,fare_billing_dispute,fare_billing_dispute,False,Can be auto-handled with standard protocol / DM guidance,,"I’m really sorry to hear about the unexpected charges. I understand how concerning this can be. Please DM me your account email and details of the rides in question, and I’ll help you get to the bottom of this. Thank you for your patience!"
408000,408000,@user you’re ok with me being charged a cleaning fee for this? There is clearly NO MESS. Will never use Uber again. Switching to @user https://t.co/9Xi2lwZ7hw,407999,@user So sorry about that! Can you please contact us via https://t.co/a6RfeBkKmr so our team can connect.,2,fare_billing_dispute,fare_billing_dispute,False,Can be auto-handled with standard protocol / DM guidance,,I’m really sorry to hear about the unexpected cleaning fee. I understand how frustrating this must be. Please DM me your account email and the trip details so I can look into this for you. Your experience matters to us!
1375006,1375006,Fucking uber driver last night was such a fuckhead i was still nice yet the cunt gave me a bad rating the rude racist prick @user,1375005,@user We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,2,driver_service_conduct,driver_service_conduct,False,Can be auto-handled with standard protocol / DM guidance,,"I'm really sorry to hear about your experience. It's frustrating when things don't go as expected. If you'd like, please DM us your account email and trip details so we can look into this further. Your feedback is important to us."
352201,352201,@Uber_Support help! Trying to use whilst abroad and keep getting told my payment method (2 types) are invalid and to verify my email (which,352200,"@user Sorry to hear about the troubles, Julianne. Please send us a note at https://t.co/hr88X1ZGuG so we can look into this for you.",2,app_account_access,app_account_access,False,Can be auto-handled with standard protocol / DM guidance,,Hi there! I’m sorry to hear you’re having trouble with your payment methods while abroad. Please DM me your registered phone number and email so our tech team can assist you with this issue. We're here to help!
2133404,2133404,My UberEATS driver this morning was rude as fuck 😂 then when I went to go get my food he act like he didn’t see don’t try it I’ll beat yo ass,2133403,@user Here to help! Send us a note via https://t.co/1T6jbFraO8 so our team can get in touch.,2,driver_service_conduct,driver_service_conduct,False,Can be auto-handled with standard protocol / DM guidance,,"I'm really sorry to hear about your experience with your driver this morning. That’s not the service we aim for. If you’d like to share more details, please DM us your account email and we’ll look into it. Your feedback is important to us!"
1481207,1481207,@Uber_Support Hey! Why dont you have a phone number people can call? The app isnt always enough. Who can I contact about an issue?,1481206,"@user At this moment, we don't offer phone support for these issues. We're sorry for any inconvenience. Visit this link https://t.co/balq3Eyso6.",5,lost_item,lost_item,False,Can be auto-handled with standard protocol / DM guidance,,"Hi there! I completely understand how frustrating it can be when you can't find what you need. For lost items, please go to the app and select Activity > Find lost item > Contact driver. If you need further assistance, feel free to DM us your email and we’ll help you out!"
2663244,2663244,@Uber_Support cab cancelled by Driver Still showing due in my account. Unable to book another cab. Please sort out. https://t.co/1f2bUU49S2,2663243,"@user Here to help, Shubham! Send us a note here, https://t.co/76zx6Rm1i6, and our team will follow up.",2,general_feedback_other,general_feedback_other,False,Can be auto-handled with standard protocol / DM guidance,,I'm really sorry to hear about the cancellation and the trouble booking another ride. Please DM us your registered phone number and email so we can get this sorted out for you as quickly as possible. Thank you for your patience!
1510145,1510145,Pretty sure my Uber driver is drunk or something. 🤷🏼‍♀️,1510144,@user We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,2,safety_critical,safety_critical,True,P0 physical safety risk requires immediate human safety team triage,,I'm really sorry to hear that you're feeling this way about your ride. Your safety is our top priority. Please DM us your phone number so our safety team can reach out to you immediately. Thank you for bringing this to our attention.
2186085,2186085,"Have now tried contacting @user customer support via app, email, phone (spoiler alert: there isn’t one) and live chat. Trying Twitter in despair https://t.co/VDlJfAY6DM",2186084,@user We're here to help! Send us a DM with your email address and more details so we can follow up.,2,lost_item,lost_item,False,Can be auto-handled with standard protocol / DM guidance,,"I'm really sorry to hear about your lost item. Please try going to the app and selecting Activity > Find lost item > Contact driver. If you need further help, feel free to DM us your email and details, and we'll assist you right away!"
999851,999851,@Uber_Support seriously do you have any way to contact your unethical trash company that isn’t a chatbot,999850,"@user At this moment, we don't offer phone support for these issues. Visit this link https://t.co/balq3Eyso6 so our team can assist.",4,general_feedback_other,general_feedback_other,False,Can be auto-handled with standard protocol / DM guidance,,"I hear your frustration, and I’m here to help. Please DM me with your account email or phone number, and I’ll make sure your concerns are addressed by our team. Your feedback is important to us!"
1736824,1736824,When I look online it says that mcdonalds delivers to my address but the restaurant never&amp; had never showed up on my app @user #ubereats,1736823,"@user Here to help! Send us a note here, https://t.co/EGiaYE5JMU, and our team will follow up.",2,driver_service_conduct,driver_service_conduct,False,Can be auto-handled with standard protocol / DM guidance,,"I’m sorry to hear that McDonald's isn’t showing up on your app. Sometimes, restaurant availability can vary. Please DM me your registered email and phone number so I can help you resolve this issue!"
1843740,1843740,@user your driver tried to assault me when I was going home,1843739,@user We want to follow up ASAP. Can you please send us a DM with your email address and additional details so we can connect?,2,safety_critical,safety_critical,True,P0 physical safety risk requires immediate human safety team triage,,I'm so sorry to hear about your experience. Your safety is our top priority. Please DM us your phone number so our safety team can reach out to you immediately. We're here to help.
2507452,2507452,@Uber_Support @user you and I need to have a SERIOUS chat about why ur so shitty,2507451,@user Here to help. Kindly provide more and specific details on your concern,2,general_feedback_other,general_feedback_other,False,Can be auto-handled with standard protocol / DM guidance,,"Hi there! I’m really sorry to hear you're feeling this way. Your feedback is important to us, and I’d love to understand more about your experience. Please DM me your account email or details so we can address this together. Thank you!"
955245,955245,No bother when the police stops your uber driver and you're sat for 5 minutes while he's interrogated 😬,955244,@user We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,2,safety_critical,safety_critical,True,P0 physical safety risk requires immediate human safety team triage,,I'm really sorry to hear about your experience. Your safety is our top priority. Please DM us your phone number so our safety team can reach out and assist you further. Thank you for bringing this to our attention!
496083,496083,So @user if I’m a passenger and get injured in an accident with one of your drivers y’all not gonna cover my treatment?,496082,"@user Happy to connect Dani! If you want to report a safety concern or accident, you can visit this link for more info https://t.co/EP6GMc9RgR",2,safety_critical,safety_critical,True,P0 physical safety risk requires immediate human safety team triage,,I'm really sorry to hear about your concerns. Your safety is our top priority. Please DM us your phone number so our safety team can reach out and assist you further. We're here to help you through this situation.
2371532,2371532,@user there's something surely wrong with your app as it doesn't recognise my login details. I have reset it five times and writing here is my last push to get this sorted,2371530,@user Here to help! Send us a note here https://t.co/Md7v036OoC so we can assist.,4,app_account_access,app_account_access,False,Can be auto-handled with standard protocol / DM guidance,,I'm really sorry to hear you're having trouble with your login details. I understand how frustrating this can be. Please DM me your registered phone number and email so our tech team can assist you further. We're here to help!
314539,314539,(1/2) My dad took an uber today and his driver was at fault in an accident. The car flipped and my dad was taken away by ambulance.,314537,@user We want to follow up ASAP. Can you please send us a DM with your email address and additional details so we can connect?,4,safety_critical,safety_critical,True,P0 physical safety risk requires immediate human safety team triage,,I'm so sorry to hear about your dad's accident. His safety is our top priority. Please DM us your phone number so our safety team can reach out and assist you directly. We're here for you during this difficult time.
353074,353074,"@Uber_Support Uber has started a dirty business! Whenever upfront price is low, there will be fare mismatch! No system of complaint redressal! It happened again just now! If I don't receive a call/ email from you, I will take you to the appropriate forum! https://t.co/8i8Ulfmfya",353073,@user We see your outreach and a member of our team will be following up via email as soon as possible. We appreciate your patience.,2,driver_service_conduct,driver_service_conduct,False,Can be auto-handled with standard protocol / DM guidance,,I'm really sorry to hear about your experience with fare mismatches. I understand how frustrating this can be. Please DM us your account email and trip details so we can look into this for you. We want to make it right!
2441932,2441932,@Uber_Support my driver never ended my most recent trip and I was way overcharged,2441931,@user Sorry to hear about that! Can you please contact us via https://t.co/1xM0TILvAI so our team can connect.,2,fare_billing_dispute,fare_billing_dispute,False,Can be auto-handled with standard protocol / DM guidance,,I'm really sorry to hear about the overcharge on your trip. I understand how frustrating that can be. Please send us a DM with your account email and the trip details so we can look into this for you. We're here to help!
2362713,2362713,I ACCIDENTALLY RATES MY COOLASS UBER DRIVER 3 Astars BC IM drunk FIX UR FUCKING APP @user,2362711,@user Here to help! Simply follow the link to update your rating: https://t.co/M1RhRwgiRE,3,safety_critical,safety_critical,True,P0 physical safety risk requires immediate human safety team triage,,"I totally understand how frustrating that can be, especially after a night out! Please DM me your registered phone number and email so I can escalate this to our tech team for you. Your feedback is important, and we want to help!"
2022443,2022443,@Uber_Support Hi. My friends and I took the same journey yesterday in two different Ubers at the same time. Our distance was significantly longer and the cost significantly higher - Are you able to explain this? I can send you the individual receipts. Thanks,2022442,@user Here to help! Please send us a note via https://t.co/y4EDPcVZOI so our team can connect.,4,fare_billing_dispute,fare_billing_dispute,False,Can be auto-handled with standard protocol / DM guidance,,"Hi there! I understand how confusing it can be to see different fares for similar trips. Please DM me your account email and trip details, and I’ll look into this for you. Thanks for your patience!"
2921913,2921913,"@user - my account has been hacked, AGAIN! I open my app and its a completely different name, email, and phone number with charges coming from overseas. Please help!",2921911,"@user Thank you for reaching back out, Kenny. We see your support inquiry and will follow up once an update is available. We appreciate your patience and understanding while we research this matter.",3,lost_item,lost_item,False,Can be auto-handled with standard protocol / DM guidance,,I'm really sorry to hear that your account has been hacked. Your safety is our top priority. Please DM us your registered phone number and email so our tech team can assist you right away. We're here to help!
1876680,1876680,@user @Uber_Support Unable to login the uber app using my mobile number(+91 9642393924)... Can u pls look into it...! #uberindia,1876679,"@user We have followed up via in app support. You can see this message in the email associated with your acct, please follow up there.",2,app_account_access,app_account_access,False,Can be auto-handled with standard protocol / DM guidance,,Hi there! I’m sorry to hear you’re having trouble logging in. Please send us a DM with your registered email and phone number so our tech team can assist you further. We're here to help!
2710010,2710010,I may have just flirted at my @user driver by accident. Help.,2710011,@user Here to help! Please send us a DM with your email address and more info regarding your concern so we can assist.,4,safety_critical,safety_critical,True,P0 physical safety risk requires immediate human safety team triage,,We understand that situations like this can be a bit awkward! Your safety is our top priority. Please DM us your phone number so our safety team can reach out and assist you further. We're here for you!
2987327,2987327,@Uber_Support can y’all get back to me. I’m trying to call a uber. Lol,2987326,@user We just sent you a DM. Please check your messages.,2,general_feedback_other,general_feedback_other,False,Can be auto-handled with standard protocol / DM guidance,,Hey there! I’m sorry to hear you’re having trouble calling an Uber. Please send us a DM with your registered phone number so we can help you get back on the road. We’re here for you!
1749516,1749516,@Uber_Support driver name is: Jordan Palmer,1749515,@user We can take a look! Send us a note via https://t.co/XJy0wStLEj so our team can get in touch.,2,general_feedback_other,general_feedback_other,False,Can be auto-handled with standard protocol / DM guidance,,"Hi there! Thanks for sharing your driver’s name, Jordan Palmer. If you have any specific feedback or concerns about your ride, please feel free to DM us with more details. We're here to help!"
2865448,2865448,"I have been trying to resolve an issue with my @user ride for 2 wks, but only get automated responses. The Address listed for The Standard Hotel is not the same address for where my driver tried to drop me off, but I’m being charged an extra cost for “changing” the address. https://t.co/0p84lLchXH",2865447,@user Here to help! Please send us a DM with your email address with details so we can follow up.,2,fare_billing_dispute,fare_billing_dispute,False,Can be auto-handled with standard protocol / DM guidance,,I’m really sorry to hear about the confusion with your drop-off address and the extra charge. I understand how frustrating this can be. Please DM me your account email and trip details so I can help resolve this for you. Thank you for your patience!
1666680,1666680,@user your Mumbai operations are so in unprofessional,1666679,@user We're sorry to hear this was your experience. Contact us via https://t.co/fS660rQ8NQ and we'll be in touch.,2,driver_service_conduct,driver_service_conduct,False,Can be auto-handled with standard protocol / DM guidance,,"We’re really sorry to hear about your experience in Mumbai. Your feedback is important to us, and we want to make it right. Please DM us with more details about what happened, including your account email, so we can assist you further. Thank you for reaching out!"
2256053,2256053,@Uber_Support how do report an unsafe driver that doesn't stop at stop lights or use turn signals and almost hits other drivers,2256052,@user We're sorry to hear this was your experience. Contact us via https://t.co/IeSxT5cVHC and we'll be in touch.,2,safety_critical,safety_critical,True,P0 physical safety risk requires immediate human safety team triage,,I'm really sorry to hear about your experience with the driver. Your safety is our top priority. Please DM us your phone number so our safety team can reach out to you directly. Thank you for bringing this to our attention!
314790,314790,@Uber_Support Unable to login inspite of correct password,314789,@user We've followed up via DM so please check your inbox.,2,app_account_access,app_account_access,False,Can be auto-handled with standard protocol / DM guidance,,I'm sorry to hear you're having trouble logging in! Let's get this sorted out. Please DM me your registered phone number and email so our tech team can assist you. We're here to help!
